support,itemsets,length
0.24,"frozenset({'Yes save_act', 'Is Married', 'Has Car'})",3
0.21333333333333335,"frozenset({'Is Married', 'Has Car', 'No mortgage'})",3
0.26666666666666666,"frozenset({'Has current_act', 'Yes save_act', 'Has Car'})",3
0.23833333333333334,"frozenset({'Has current_act', 'Has Car', 'No mortgage'})",3
0.235,"frozenset({'Yes save_act', 'Has Car', 'No mortgage'})",3
0.235,"frozenset({'Has current_act', '(-0.003, 1.0]', 'Has Car'})",3
0.22333333333333333,"frozenset({'Yes save_act', '(-0.003, 1.0]', 'Has Car'})",3
0.215,"frozenset({'Is Married', '(-0.003, 1.0]', 'Has Car'})",3
0.295,"frozenset({'Has current_act', '(24386.173, 43758.137]'})",2
0.24666666666666667,"frozenset({'(24386.173, 43758.137]', 'Is Married'})",2
0.215,"frozenset({'(24386.173, 43758.137]', 'Has Car'})",2
0.20666666666666667,"frozenset({'(24386.173, 43758.137]', 'No pep'})",2
0.27166666666666667,"frozenset({'Yes save_act', '(24386.173, 43758.137]'})",2
0.24666666666666667,"frozenset({'(24386.173, 43758.137]', 'No mortgage'})",2
0.205,"frozenset({'(24386.173, 43758.137]', 'FEMALE'})",2
0.2633333333333333,"frozenset({'(24386.173, 43758.137]', '(-0.003, 1.0]'})",2
0.20666666666666667,"frozenset({'Yes save_act', '(24386.173, 43758.137]', 'Has current_act'})",3
0.25666666666666665,"frozenset({'Has current_act', 'Has mortgage'})",2
0.225,"frozenset({'Is Married', 'Has mortgage'})",2
0.25,"frozenset({'Has mortgage', '(-0.003, 1.0]'})",2
0.24,"frozenset({'Yes save_act', 'Has mortgage'})",2
0.21333333333333335,"frozenset({'Has current_act', 'TOWN'})",2
0.21333333333333335,"frozenset({'Yes save_act', 'TOWN'})",2
0.5316666666666666,"frozenset({'Yes save_act', 'Has current_act'})",2
0.25166666666666665,"frozenset({'Yes save_act', '(50.667, 67.0]'})",2
0.24,"frozenset({'Has current_act', '(50.667, 67.0]'})",2
0.21333333333333335,"frozenset({'(50.667, 67.0]', 'No mortgage'})",2
0.21333333333333335,"frozenset({'Is Married', '(50.667, 67.0]'})",2
0.20166666666666666,"frozenset({'(-0.003, 1.0]', '(50.667, 67.0]'})",2
0.29,"frozenset({'(4956.094, 24386.173]', '(17.951, 34.333]'})",2
0.255,"frozenset({'Has current_act', '(17.951, 34.333]'})",2
0.21333333333333335,"frozenset({'Is Married', '(17.951, 34.333]'})",2
0.20833333333333334,"frozenset({'(17.951, 34.333]', 'No mortgage'})",2
0.20666666666666667,"frozenset({'(17.951, 34.333]', 'No pep'})",2
0.20833333333333334,"frozenset({'(-0.003, 1.0]', '(17.951, 34.333]'})",2
0.23,"frozenset({'Has current_act', '(4956.094, 24386.173]', '(17.951, 34.333]'})",3
